고객 이름,Membership Type,시도,시군구,상세주소,전화,제품,ref,제조번호,설치일자,AX 코드,S.Territory
서울명문치과,6368034 year generator/sensor warranty(3D),강원특별자치도,홍천군,홍천읍 홍천로3길 16 ,033-436-2804,Orthophos 3D 11x10 Ceph (Arm),OPS3D11x10C,1700021,2021-04-26,105972,EAST
자인치과의원,6368034 year generator/sensor warranty(3D),충청북도,청주시,흥덕구 서현로 32,043-237-7575,Orthophos 3D 11x10 Ceph (Arm),OPS3D11x10C,1700020(M6679612S1700020),2021-04-22,111990,WEST
금토정성치과의원,6368034 year generator/sensor warranty(3D),경기도,성남시,수정구 금토로80번길,031-709-2888,Orthophos 3D 11x10 Ceph (Arm),OPS3D11x10C,1700034,2023-06-27,113259,EAST
의료법인명지의료재단,Local Warranty Extension (1+2),경기도,고양시,덕양구 화수로 14번길 55 ,031-810-5114,Orthophos 3D 11x10 Ceph (Arm),OPS3D11x10C,1700052,2022-10-10,105714,WEST
강서탑치과,6368034 year generator/sensor warranty(3D),서울특별시,강서구,강서로 392-11,02-3662-2870,Orthophos 3D 11x10 Ceph (Arm),OPS3D11x10C,1700001,2021-10-21,106483,WEST
고신대학교복음병원,,부산광역시,서구,감천로 262 ,051-990-6900,Galileos Comfort Hardware,6052935,9149,2017-08-31,108140,EAST
연세우리치과,,경기도,성남시,분당구 황새울로 325,031-707-2852,RCU,NOT IN USE-001RCN7AAO,,2016-03-28,108480,EAST
(학)가톨릭학원가톨릭대학교대전성모병원,,대전광역시,중구,대흥로 64,042-220-9030,HD Plus Wall version (Helident Plus),6256171,34502,2015-12-10,110134,WEST
신성치과의원,,서울특별시,성동구,성수2가  314-6번지,02-464-1574,HD Plus Wall version (Helident Plus),6256171,31156,2015-08-26,108641,EAST
뉴욕치과의원,,서울특별시,중구,퇴계로 436,02-2238-2875,HD Plus Wall version (Helident Plus),6256171,31064,2015-08-19,108644,WEST
맨하탄치과_서울  성동구,,서울특별시,성동구,행당1동  267번지 나래타워 702호,02-2281-0028,HD Plus Wall version (Helident Plus),6256171,18462,2015-09-30,103876,EAST
좋은솜씨죽전치과,,경기도,용인시,기흥구 죽전로 57,031-889-2877,HD Plus Wall version (Helident Plus),6256171,31060,2015-08-03,112493,EAST
서울그루치과의원,,경기도,용인시,수지구 수지로 74,031-264-2275,HD Plus Wall version (Helident Plus),6256171,31039,2015-06-10,108724,EAST
다니치과의원,,경기도,수원시,장안구 덕영대로535번길 38,031-207-7528,HD Plus Wall version (Helident Plus),6256171,28121,2015-03-30,109751,WEST
한림치과의원_대구  중구,,대구광역시,중구,동성로2가  140-1번지,053-426-7575,HD Plus Wall version (Helident Plus),6256171,28117,2015-02-11,108786,EAST
국군함평병원,,전라남도,함평군,해보면 신해로 1027,010-9105-1006,HD Plus Wall version (Helident Plus),6256171,49470,2018-08-10,,WEST
아름미소치과의원,,서울특별시,중랑구,망우로 192,02-6212-7575,HD Plus Wall version (Helident Plus),6256171,31212,2017-12-07,110440,EAST
미소를만드는치과교정과치과의원,,부산광역시,부산진구,중앙대로 708,051-817-8228,HD Plus Wall version (Helident Plus),6256171,18716,2016-07-29,114183,EAST
연세화이트치과,,경기도,용인시,기흥구 구갈동 352번지 메가타운빌딩 303호,031-274-9955,HD Plus Wall version (Helident Plus),6256171,36954,2016-03-23,108969,EAST
골드치과의원,,서울특별시,중랑구,동일로 812,02-3422-2875,HD Plus Wall version (Helident Plus),6256171,36986,2016-03-21,108460,EAST
비오케이(BOK)김봉옥치과,,서울특별시,강남구,압구정로 208,02-515-2828,HD Plus Wall version (Helident Plus),6256171,35592,2016-02-23,107731,EAST
오늘안치과의원,,서울특별시,중구,장충단로13길 20,02-2283-2136,HD Plus Wall version (Helident Plus),6256171,35564,2016-03-07,108490,WEST
연세우리치과,,경기도,성남시,분당구 황새울로 325,031-707-2852,HD Plus Wall version (Helident Plus),6256171,36952,2016-03-28,108480,EAST
경희의료원,,서울특별시,동대문구,경희대로 23,02-958-9915-6,HD Plus Wall version (Helident Plus),6256171,37768,2016-02-17,104181,EAST
경희의료원,,서울특별시,동대문구,경희대로 23,02-958-9915-6,HD Plus Wall version (Helident Plus),6256171,6483734/37780,2016-03-28,104181,EAST
강동경희대학교병원,,서울특별시,강동구,동남로 892,02-440-6526,HD Plus Wall version (Helident Plus),6256171,37764,2016-06-01,103412,EAST
라임치과의원_충남 아산시,,충청남도,아산시,배방읍 배방로 53 황금프라자,041-541-2879,HD Plus Wall version (Helident Plus),6256171,34514,2016-01-15,107376,WEST
탑플란트치과의원,,충청남도,천안시,청당동 396-12 4층,041-622-2875,HD Plus Wall version (Helident Plus),6256171,34486,2016-02-15,108489,WEST
호계치과,,울산광역시,북구,호계동  833-6번지,052-295-1682,HD Plus Wall version (Helident Plus),6256171,34471,2015-12-22,108586,EAST
에이스치과의원,,서울특별시,강북구,미아동 60-16 2층 211,02-945-0015,ORTHOPHOS XG 3,6005586,112046,2015-11-30,109395,EAST
호계치과,,울산광역시,북구,호계동  833-6번지,052-295-1682,ORTHOPHOS XG 3,6005586,111986,2015-11-12,108586,EAST
다나치과의원,,인천광역시,미추홀구,한나루로389,032-867-7575,ORTHOPHOS XG 3,6005586,111954,2015-11-10,108997,WEST
미라인치과의원,,서울특별시,중구,퇴계로 457,02-2254-2877,ORTHOPHOS XG 3,6005586,111953,2015-10-28,113633,WEST
나온치과,,서울특별시,종로구,종로5가 36-1 2층 201호,02-747-7522,ORTHOPHOS XG 3,6005586,111804,2015-08-31,109108,WEST
신성치과의원,,서울특별시,성동구,성수2가  314-6번지,02-464-1574,ORTHOPHOS XG 3,6005586,111759,2015-08-26,108641,EAST
문치과,,경기도,수원시,영통구 하동 광교택지 A26BL휴먼시아아파트단지상가 201,031-262-2875,ORTHOPHOS XG 3,6005586,111931,2015-09-30,109191,WEST
팜스치과의원,,서울특별시,은평구,대조동  240 팜스퀘어 15층 A007,02-350-7974,ORTHOPHOS XG 3,6005586,111912,2015-09-24,108633,WEST
맨하탄치과_서울  성동구,,서울특별시,성동구,행당1동  267번지 나래타워 702호,02-2281-0028,ORTHOPHOS XG 3,6005586,111930,2015-09-30,103876,EAST
한마음치과의원,,강원특별자치도,속초시,조양동  1498-6번지 A동2층,033-638-8228,ORTHOPHOS XG 3,6005586,111758,2015-08-13,101861,EAST
열린수치과의원,,서울특별시,관악구,관악로40길 47 A-402,02-874-3100,ORTHOPHOS XG 3,6005586,111557,2015-06-17,109373,WEST
이튼치과_강원도 춘천시,,강원특별자치도,춘천시,방송길 98,033-251-0101,ORTHOPHOS XG 3,6005586,111558,2015-07-15,101413,EAST
베리굿치과의원_경기도 안산,,경기도,안산시,단원구 와동 719-8 2층,031-439-6975,ORTHOPHOS XG 3,6005586,111518,2015-05-26,108717,WEST
금호타이어(주)부속치과,,광주광역시,광산구,어등대로 658 1층,062-940-2057,ORTHOPHOS XG 3,6005586,111517,2015-05-04,108648,WEST
한빛치과의원,,경기도,시흥시,하중동  856-1번지 조은프라자 203호,031-318-2875,ORTHOPHOS XG 3,6005586,111093,2015-04-23,106296,WEST
홍치과의원,,서울특별시,서대문구,북가좌2동  304-29번지 2층,02-308-1664,ORTHOPHOS XG 3,6005586,111095,2015-04-09,102911,WEST
토론토사랑치과의원,,서울특별시,관악구,청림동  1000번지 관악현대B상가APT 202호,02-886-2275,ORTHOPHOS XG 3,6005586,110999,2015-01-14,109874,WEST
현대치과의원,,경기도,양주시,백석읍 복지리 290 동화아파트 1차상가 213,031-879-2777,ORTHOPHOS XG 3,6005586,111094,2015-03-26,108757,EAST
임경대치과의원,6306786 2D extension warranty(XG only),경기도,부천시,원미구 도당동 213,032-675-3052,ORTHOPHOS XG 3,6005586,114841,2021-01-19,109906,WEST
동부치과의원,6306786 2D extension warranty(XG only),경기도,고양시,일산서구 주엽동 17 문촌마을동부썬프라자 A동 226,031-919-3606,ORTHOPHOS XG 3,6005586,114801,2020-02-21,103708,WEST
최용호치과의원,6306786 2D extension warranty(XG only),전북특별자치도,김제시,요촌동  293-1번지,063-544-4466,ORTHOPHOS XG 3,6005586,114843,2020-09-14,107733,WEST
황치훈치과의원,6306786 2D extension warranty(XG only),서울특별시,서대문구,홍제3동  253-7번지,02-379-2897,ORTHOPHOS XG 3,6005586,114814,2020-07-01,105353,WEST
대전보건대학교(주식회사 새한),6306786 2D extension warranty(XG only),대전광역시,동구,충정로 21,042-670-9000,ORTHOPHOS XG 3,6005586,114812,2020-05-19,,WEST
자하연치과,6306786 2D extension warranty(XG only),서울특별시,성북구,정릉동 404-14,02-914-2804,ORTHOPHOS XG 3,6005586,114758,2019-12-24,100669,EAST
밝은미소이치과,6306786 2D extension warranty(XG only),서울특별시,광진구,구의3동  220-218번지,02-458-4496,ORTHOPHOS XG 3,6005586,114651,2019-10-22,102913,EAST
(복)양친사회복지회,6306786 2D extension warranty(XG only),경기도,성남시,산성대로476번길 12 ,031-799-5543,ORTHOPHOS XG 3,6005586,114811,2020-03-17,108612,EAST
서울치과의원_강원 홍천군,6306786 2D extension warranty(XG only),강원특별자치도,홍천군,홍천읍  신장대리 73-10번지 2층,033-434-3556,ORTHOPHOS XG 3,6005586,114474,2019-09-04,108200,EAST
서울치과의원_경기 동두천시,,경기도,동두천시,생연동 611-4 한웅프라자 206,031-864-4657,ORTHOPHOS XG 3,6005586,114473,2019-04-04,106904,EAST
에덴치과_경북 구미,,경상북도,구미시,봉곡남로 85,054-442-0028,ORTHOPHOS XG 3,6005586,113975,2018-12-20,109814,EAST
전도현치과의원,,인천광역시,미추홀구,매소홀로 474,032-866-6632,ORTHOPHOS XG 3,6005586,113944,2018-09-06,108324,WEST
성심치과의원_경기 부천시,,경기도,부천시,오정구 오정로 210,032-681-2875,ORTHOPHOS XG 3,6005586,113861,2018-07-12,101536,WEST
(학) 성균관대학삼성창원병원,,경상남도,창원시,마산회원구 팔용로 158,055-233-5690,ORTHOPHOS XG 3,6005586,114420,2019-02-19,110133,EAST
미금치과_경기 남양주시,,경기도,남양주시,도농동 117 이화빌딩  3층,031-569-2875,ORTHOPHOS XG 3,6005586,113279,2018-03-28,100481,EAST
진기열치과의원,,경상북도,포항시,북구 중흥로,054-281-2710,ORTHOPHOS XG 3,6005586,113280,2018-03-07,108623,EAST
서기항치과의원,,전북특별자치도,전주시,완산구 고사동 2-6,063-275-7533,ORTHOPHOS XG 3,6005586,113278,2018-02-20,110367,WEST
국립공주병원,,충청남도,공주시,고분티로 623-21 ,041-850-5764,ORTHOPHOS XG 3,6005586,113185,2017-10-30,,WEST
구성 수치과의원,,경기도,용인시,기흥구 언남동 416-5 2필지 푸른종합상가 206호,031-283-2874,ORTHOPHOS XG 3,6005586,113184,2017-08-11,108773,EAST
한국보훈복지의료공단중앙병원,,서울특별시,강동구,진황도로 61길53,02-2225-1114,ORTHOPHOS XG 3,6005586,113183,2017-04-28,103881,EAST
배현철치과의원,,대구광역시,중구,대신동 1010-2,053-254-4190,ORTHOPHOS XG 3,6005586,113186,2017-09-18,109718,EAST
고려치과의원,,대전광역시,중구,옥계동  149-8번지,042-271-6025,ORTHOPHOS XG 3,6005586,112984,2017-03-30,108817,WEST
제나두치과,,서울특별시,서초구,방배로 13길 18 211,02-501-2875,ORTHOPHOS XG 3,6005586,112985,2017-03-27,105243,EAST
하늘치과의원,,서울특별시,종로구,자하문로 58,02-737-2804,ORTHOPHOS XG 3,6005586,112973,2017-02-21,108185,WEST
도진영치과의원,,경기도,성남시,중원구 금광1동 656번지,031-745-4853,ORTHOPHOS XG 3,6005586,112972,2017-01-25,108604,EAST
늘해랑치과,,경기도,부천시,중동로 398,032-672-8172,ORTHOPHOS XG 3,6005586,112954,2016-12-27,113326,WEST
수원선치과의원,,경기도,수원시,팔달구 팔달로3가 26-7번지 남경빌딩 3층,031-257-7520,ORTHOPHOS XG 3,6005586,112913,2016-12-01,108338,WEST
센트럴D&D치과의원,,인천광역시,연수구,송도동 23-3 A-211,032-858-2275,ORTHOPHOS XG 3,6005586,112768,2016-11-09,109344,WEST
고치과의원,,전북특별자치도,군산시,수송동 808-7,063-442-2875,ORTHOPHOS XG 3,6005586,112769,2016-11-02,107268,WEST
박윤혁치과의원,,대전광역시,대덕구,중리 369-16,042-673-4114,ORTHOPHOS XG 3,6005586,112321,2016-09-09,109818,WEST
김진국치과의원,,서울특별시,강북구,수유동  472-8번지 3층,02-986-8961,ORTHOPHOS XG 3,6005586,112302,2016-08-18,109253,EAST
서울새이치과의원,,경기도,용인시,수지구 신수로 767,031-229-1633,ORTHOPHOS XG 3,6005586,112301,2016-08-10,108357,EAST
서울베스트치과의원,,경기도,양주시,백석읍 복지리 130-7 2층,031-836-2275,ORTHOPHOS XG 3,6005586,112320,2016-09-21,108316,EAST
박동범치과의원,,경기도,부천시,소사구 경인로 74 ,032-662-9399,ORTHOPHOS XG 3,6005586,112216,2016-04-07,109008,WEST
연세필치과의원,,경기도,파주시,문화로 100,031-957-0158,ORTHOPHOS XG 3,6005586,112167,2016-03-02,108471,WEST
미소치과의원,,강원특별자치도,양구군,양구읍  상리 330-6번지,033-481-2875,ORTHOPHOS XG 3,6005586,112125,2016-02-24,109063,EAST
예담치과,,부산광역시,사하구,괴정3동  1009-22번지 농협 3층,051-205-2275,ORTHOPHOS XG 3,6005586,112303,2016-05-25,108918,EAST
경희의료원,,서울특별시,동대문구,경희대로 23,02-958-9915-6,ORTHOPHOS XG 3,6005586,112235,2016-05-24,104181,EAST
경희의료원,,서울특별시,동대문구,경희대로 23,02-958-9915-6,ORTHOPHOS XG 3,6005586,112237,2016-05-24,104181,EAST
김대섭치과,,경기도,화성시,정남면 서봉로 1006-4,031-359-8280,ORTHOPHOS XG 3,6005586,112236,2016-05-03,108662,WEST
탑치과의원_대전 서구,,대전광역시,서구,갈마동 377-5 용우빌딩 층,042-534-2207,ORTHOPHOS XG 3,6005586,112215,2016-04-20,109369,WEST
세브란스치과의원,,경기도,부천시,원미구 상1동 반달마을삼익세라믹상가 210호,032-323-2828,ORTHOPHOS XG 3,6005586,112063,2016-01-28,108528,WEST
최윤호치과의원,,경기도,양주시,광적면  가남리 722-9번지,031-837-8221,ORTHOPHOS XG 3,6005586,112047,2015-12-15,100938,EAST
염치과의원,,전북특별자치도,고창군,고창읍 중앙로 232,063-564-4438,ORTHOPHOS XG 3,6005586,6005586,2016-02-18,108488,WEST
이천치과_경기 이천시,,경기도,이천시,창전동  457-21번지 역전빌딩 2층,031-638-2021,ORTHOPHOS XG 3,6005586,112091,2016-01-27,108511,EAST
한남치과의원_대전  동구,,대전광역시,동구,계족로443번길 70,042-627-2875,ORTHOPHOS XG 5,5993394,61074,2015-09-01,110939,WEST
이편한치과,,경기도,양주시,회정동 98-5 이마트 2층,031-859-2879,ORTHOPHOS XG 3D,6300011,650229,2015-09-24,109024,EAST
국군서울지구병원(주식회사 나유),,서울특별시,종로구,삼청동 10길 13,02-397-3943,ORTHOPHOS XG 3D,6300011,631569,2015-09-30,109668,WEST
국군의무사령부 (국군강릉병원),,강원특별자치도,강릉시,주문진읍 동해대로 4371-34,033-662-7802,ORTHOPHOS XG 3D,6300011,631500,2015-10-22,,EAST
하루에치과의원,,서울특별시,강남구,강남대로 162길 41-11,1544-0208,ORTHOPHOS XG 3D,6300011,631494,2015-09-09,104205,EAST
성서부부치과의원,,대구광역시,달서구,성서서로 316,053-581-5199,ORTHOPHOS XG 3D,6300011,631474,2015-09-02,109009,EAST
발안치과의원,,경기도,화성시,향남읍  평리 73-1번지,031-354-9975,ORTHOPHOS XG 3D,6300011,650227,2015-06-30,107971,WEST
이안치과_경기 여주군,,경기도,여주시,여주읍  홍문리 110,031-882-2850,ORTHOPHOS XG 3D,6300011,630406,2015-06-29,109060,EAST
보람부부치과,,부산광역시,부산진구,복지로 61,051-895-7275,ORTHOPHOS XG 3D,6300011,631330,2015-05-27,100650,EAST
하예치과의원,6306810 3D extension warranty(XG only),경기도,의정부시,용민로 483,031-874-2804,ORTHOPHOS XG 3D,6300011,652352,2021-09-14,111560,EAST
6사단의무대(주식회사 나유),6306810 3D extension warranty(XG only),경기도,포천시,관인면 북원로 404번길 78-5호 의무대대 ,,ORTHOPHOS XG 3D,6300011,633039,2020-06-26,,EAST
3사교병원(주식회사 나유),6306810 3D extension warranty(XG only),경상북도,영천시,고경면 호국로 사서함 135-1호,,ORTHOPHOS XG 3D,6300011,633038,2020-06-24,,EAST
2작사의무대(주식회사 나유),6306810 3D extension warranty(XG only),대구광역시,수성구,무열로 56,,ORTHOPHOS XG 3D,6300011,633037,2020-06-23,,EAST
특수전교육단(주식회사 나유),6306810 3D extension warranty(XG only),경기도,광주시,오포읍 양벌로 353번길 30,,ORTHOPHOS XG 3D,6300011,633036,2020-06-22,,EAST
육군사관학교병원(주식회사 나유),6306810 3D extension warranty(XG only),서울특별시,노원구,화랑로 574,,ORTHOPHOS XG 3D,6300011,633035,2020-06-19,,EAST
5사단(주식회사 나유)_경기 연천,6306810 3D extension warranty(XG only),경기도,연천군,전곡읍 평화로 874,,ORTHOPHOS XG 3D,6300011,633033,2020-06-18,,EAST
28사단의무대(주식회사 나유),6306810 3D extension warranty(XG only),경기도,양주시,은현면 364로 431-54,,ORTHOPHOS XG 3D,6300011,633032,2020-06-17,,EAST
수기사의무대(주식회사 나유),6306810 3D extension warranty(XG only),경기도,가평군,조종면 현창로 31,,ORTHOPHOS XG 3D,6300011,633034,2020-06-15,,EAST
11사단의무대(주식회사 나유),6306810 3D extension warranty(XG only),강원특별자치도,홍천군,홍천로 132,,ORTHOPHOS XG 3D,6300011,633031,2020-06-12,,EAST
20여단의무대(주식회사 나유),6306810 3D extension warranty(XG only),강원특별자치도,홍천군,화촌면 송정3길 16,,ORTHOPHOS XG 3D,6300011,633030,2020-06-11,,EAST
계룡대지구병원(주식회사 나유),6306810 3D extension warranty(XG only),충청남도,계룡시,신도안면 정장리,,ORTHOPHOS XG 3D,6300011,633029,2020-06-09,,WEST
학생군사학교(주식회사 나유),6306810 3D extension warranty(XG only),충청북도,괴산군,괴산읍 문무로 177,,ORTHOPHOS XG 3D,6300011,633028,2020-06-08,,WEST
9사단의무대(주식회사 나유),6306810 3D extension warranty(XG only),경기도,고양시,일산동구 풍동 208-11,,ORTHOPHOS XG 3D,6300011,633027,2020-06-05,,WEST
1사단의무대(주식회사 나유),6306810 3D extension warranty(XG only),경기도,파주시,사임당로 273 의무대대 보급과 ,,ORTHOPHOS XG 3D,6300011,633026,2020-06-04,,WEST
17사단의무대(주식회사 나유),6306810 3D extension warranty(XG only),인천광역시,부평구,무네미로 447번길,,ORTHOPHOS XG 3D,6300011,633025,2020-06-03,,WEST
3사단의무대(주식회나 나유),6306810 3D extension warranty(XG only),강원특별자치도,철원군,서면 자등리 1,,ORTHOPHOS XG 3D,6300011,632916,2020-05-29,,EAST
7사단의무대(주식회사 나유),6306810 3D extension warranty(XG only),강원특별자치도,화천군,하남면 논미로 347-11 의무근무대,,ORTHOPHOS XG 3D,6300011,632915,2020-05-27,,EAST
21사단의무대(주식회사 나유),6306810 3D extension warranty(XG only),강원특별자치도,양구군,양구읍 금강산로 510,,ORTHOPHOS XG 3D,6300011,632914,2020-05-26,,EAST
22사단의무대(주식회사 나유),6306810 3D extension warranty(XG only),강원특별자치도,고성군,광포호길15,,ORTHOPHOS XG 3D,6300011,632913,2020-05-22,,EAST
특전사의무대(주식회사 나유),6306810 3D extension warranty(XG only),경기도,이천시,마장면 억만리로130,,ORTHOPHOS XG 3D,6300011,632911,2020-05-20,,EAST
나눔치과의원,6306810 3D extension warranty(XG only),광주광역시,북구,용주로30번길 63,062-415-2875,ORTHOPHOS XG 3D,6300011,632594,2020-02-05,108492,WEST
해군포항병원,6306810 3D extension warranty(XG only),경상북도,포항시,남구 오천읍 구정리 사서함 209-141호 1층,054-290-2485,ORTHOPHOS XG 3D,6300011,632910,2019-06-26,106242,EAST
고의영치과,,부산광역시,해운대구,반여2동  1291-1025번지,051-783-2636,ORTHOPHOS XG 3D,6300011,632104,2018-04-30,104913,EAST
그린서울치과,,서울특별시,구로구,고척동 203,02-2688-2875,ORTHOPHOS XG 3D,6300011,632089,2018-04-26,110558,WEST
드림치과의원_대전  중구,,대전광역시,중구,계룡로 858,042-525-6617,ORTHOPHOS XG 3D,6300011,632116,2018-11-30,108808,WEST
완도치과의원,,전라남도,완도군,완도읍 장보고대로 170,061-555-0028,ORTHOPHOS XG 3D,6300011,630459,2017-12-19,109577,WEST
이노스치과의원,,경기도,평택시,경기대로 1188,031-667-2802,ORTHOPHOS XG 3D,6300011,631588,2017-03-30,108196,WEST
한별치과의원,,전북특별자치도,전주시,완산구 홍산중앙로 26,063-211-2804,ORTHOPHOS XG 3D,6300011,632090,2016-12-23,114148,WEST
애플치과의원,,경상남도,김해시,삼계로 30,055-338-2875,ORTHOPHOS XG 3D,6300011,631857,2016-11-24,103472,EAST
정치과의원,,충청남도,홍성군,광천읍 홍남로 670,041-641-3699,ORTHOPHOS XG 3D,6300011,631796,2016-11-21,108418,WEST
22세기서울치과병원,,인천광역시,연수구,컨벤시아대로 69,032-858-2080,ORTHOPHOS XG 3D,6300011,631856,2016-11-18,107908,WEST
연세우일치과병원,,충청남도,천안시,서북구 서부대로 350,041-579-8787,ORTHOPHOS XG 3D,6300011,631752,2016-08-30,103684,WEST
비오케이(BOK)김봉옥치과,,서울특별시,강남구,압구정로 208,02-515-2828,ORTHOPHOS XG 3D,6300011,631592,2016-02-23,107731,EAST
UC미주치과의원,,광주광역시,북구,서암대로 33,062-525-2875,ORTHOPHOS XG 3D,6300011,650085,2016-01-19,108517,WEST
연세이로운치과보존과치과의원,6368034 year generator/sensor warranty(3D),서울특별시,마포구,월드컵로 98,010-4768-2143,ORTHOPHOS XG 3D,6300011,633045,2022-04-20,112529,WEST
좋은솜씨죽전치과,,경기도,용인시,기흥구 죽전로 57,031-889-2877,ORTHOPHOS XG 3D CEPH,6300029,650228,2015-08-03,112493,EAST
서울그루치과의원,,경기도,용인시,수지구 수지로 74,031-264-2275,ORTHOPHOS XG 3D CEPH,6300029,650083,2015-06-10,108724,EAST
e해박난치과의원,6306810 3D extension warranty(XG only),서울특별시,동작구,노량진동  73-3 3층,02-823-2080,ORTHOPHOS XG 3D CEPH,6300029,652361,2021-09-26,112274,WEST
청담치과의원,6306810 3D extension warranty(XG only),경기도,고양시,일산서구 대화동 2222-2번지 영림브레야 302,031-924-2882,ORTHOPHOS XG 3D CEPH,6300029,652360,2021-07-01,112162,WEST
대풍치과의원(경남 창원),6306810 3D extension warranty(XG only),경상남도,창원시,성산구 대암로 101,055-715-2875,ORTHOPHOS XG 3D CEPH,6300029,652351,2019-12-30,111341,EAST
바른부부치과의원,6306810 3D extension warranty(XG only),경기도,평택시,비전동  829-4,031-655-7528,ORTHOPHOS XG 3D CEPH,6300029,652245,2019-06-26,110032,WEST
사람사랑치과의원_전북 전주시,6306810 3D extension warranty(XG only),전북특별자치도,전주시,완산구 온고을로 18 ,063-275-7578,ORTHOPHOS XG 3D CEPH,6300029,652022,2019-08-17,101820,WEST
이승희디지털치과의원,,부산광역시,동래구,금강공원로11,051-554-2221,ORTHOPHOS XG 3D CEPH,6300029,651962,2018-06-12,110471,EAST
아름미소치과의원,,서울특별시,중랑구,망우로 192,02-6212-7575,ORTHOPHOS XG 3D CEPH,6300029,651961,2018-05-30,110440,EAST
탑클래스치과의원,,전북특별자치도,전주시,덕진구 세병남로 39 4층 1,063-254-3000,ORTHOPHOS XG 3D CEPH,6300029,651839,2018-05-15,110580,WEST
함안우리치과의원,,경상남도,함안군,가야읍 함마대로 1494,051-784-2882,ORTHOPHOS XG 3D CEPH,6300029,651829,2018-05-15,112676,EAST
서울훈플란트치과의원,,경기도,수원시,권선구 금곡로 112,031-891-2882,ORTHOPHOS XG 3D CEPH,6300029,651828,2018-05-09,110526,WEST
나노치과,,경기도,화성시,동탄순환대로 18길 16,031-373-2870,ORTHOPHOS XG 3D CEPH,6300029,651985,2019-01-29,110866,WEST
효사랑치과,,경기도,안양시,만안구 병목안로 20,031-360-4311,ORTHOPHOS XG 3D CEPH,6300029,651231,2019-01-28,110958,WEST
대구예스타치과의원,,대구광역시,중구,중앙대로 366,053-719-3346,ORTHOPHOS XG 3D CEPH,6300029,651464,2018-04-12,110584,EAST
연세자연애치과,,서울특별시,서초구,헌릉로 176,02-576-2275,ORTHOPHOS XG 3D CEPH,6300029,651463,2018-01-19,110408,EAST
라이크치과의원,Local year generator/sensor warranty,서울특별시,마포구,신촌로 104,02-6951-0011,ORTHOPHOS XG 3D CEPH,6300029,651417,2017-09-28,110474,WEST
오늘하루치과의원,Local year generator/sensor warranty,서울특별시,동작구,동작대로 89,02-522-2828,ORTHOPHOS XG 3D CEPH,6300029,651360,2017-06-29,108896,WEST
꿈을이루는수치과,,충청남도,아산시,배방읍 고속철대로 147 우성메디피아 4층,041-556-2282,ORTHOPHOS XG 3D CEPH,6300029,650990,2017-06-22,109073,WEST
연세화이트치과의원,Local year generator/sensor warranty,서울특별시,강서구,양천로 401,02-6958-7577,ORTHOPHOS XG 3D CEPH,6300029,651264,2017-06-22,108530,WEST
행복한치과,,경기도,연천군,전곡읍  305-27번지 전곡한의원 2층,031-835-7528,ORTHOPHOS XG 3D CEPH,6300029,651263,2017-05-27,103090,EAST
고덕서울치과의원,Local year generator/sensor warranty,서울특별시,강동구,고덕로 256,02-481-3336,ORTHOPHOS XG 3D CEPH,6300029,651418,2017-09-11,110213,EAST
포레스트치과의원,,서울특별시,강서구,마곡중앙6로 10 마곡역센트럴푸르지오시티 2층 210호,02-6952-5501,ORTHOPHOS XG 3D CEPH,6300029,631587,2017-02-02,108238,WEST
제니스원치과의원,,경상북도,포항시,북구 중흥로 308,054-256-2882,ORTHOPHOS XG 3D CEPH,6300029,651170,2016-11-29,109220,EAST
서울바른생각치과의원,,경기도,성남시,수정구 위례광장로310,031-752-7525,ORTHOPHOS XG 3D CEPH,6300029,651046,2016-08-05,107618,EAST
서울S치과(서울에스치과),,경기도,하남시,미사강변대로 216,031-792-2409,ORTHOPHOS XG 3D CEPH,6300029,651169,2016-09-29,108312,EAST
더블유화이트치과의원,,서울특별시,강남구,테헤란로87길 17 ,02-564-0075,ORTHOPHOS XG 3D CEPH,6300029,651083_Singap.,2016-09-28,105522,EAST
본수치과의원,,강원특별자치도,춘천시,후석로 328,033-252-7525,ORTHOPHOS XG 3D CEPH,6300029,650904,2016-06-29,110477,EAST
연세우리치과,,경기도,성남시,분당구 황새울로 325,031-707-2852,ORTHOPHOS XG 3D CEPH,6300029,650773,2016-03-28,108480,EAST
사과나무치과의원,,경기도,부천시,역곡로 8,032-343-2871,ORTHOPHOS XG 3D CEPH,6300029,650839,2016-05-23,109093,WEST
대구가톨릭대학교칠곡가톨릭병원,,대구광역시,북구,읍내동 1341-5,053-320-2500 053-320-2195,ORTHOPHOS XG 3D CEPH,6300029,650840,2016-05-18,108730,EAST
사람사랑치과의원_경기 성남,,경기도,성남시,중원구 산성대로 366,031-741-2356?,ORTHOPHOS XG 3D CEPH,6300029,650084,2016-01-26,108536,EAST
이현원치과의원,,서울특별시,강남구,선릉로 305,02-561-0222,ORTHOPHOS XG 3D CEPH,6300029,649801,2015-06-29,102787,EAST
마이스터치과의원,6306810 3D extension warranty(XG only),서울특별시,영등포구,여의도동  44-1 대영빌딩 지하1층 104호,02-783-6625,ORTHOPHOS XG 3D CEPH,6300029,652362,2021-10-23,105312,WEST
스마트e치과의원,,부산광역시,부산진구,중앙대로 700 순생빌딩 6층,051-714-1123,SIDEXIS XIOS Plus EP + USB,6283746,7876/04012550,2020-06-25,109166,EAST
백석문화대학교,,충청남도,천안시,동남구 문암로 58,,SIDEXIS XIOS Plus EP + USB,6283746,7880/04012551,2020-02-19,111464,WEST
